id,"external_id","annotations",compound_id,creator_id,updater_id,"created_at","updated_at"
1,"CHEBI:6584","anthocyanidin cation
",78,NULL,NULL,"2015-02-23 22:40:02","2015-02-23 22:40:02"
2,"C08652","Anthocyanidins and anthocyanins
",78,NULL,NULL,"2015-02-23 22:40:02","2015-02-23 22:40:02"
3,"CPD-11945","a small molecule
",78,NULL,NULL,"2015-02-23 22:40:02","2015-02-23 22:40:02"
4,"LMPK12120534","Chalcones and dihydrochalcones
",87,NULL,NULL,"2015-02-23 22:40:07","2015-02-23 22:40:07"
5,"CHEBI:76132","polyphenol
gallate ester
catechin
",97,NULL,NULL,"2015-02-23 22:40:09","2015-02-23 22:40:09"
6,"LMPK12020089","Flavans, Flavanols and Leucoanthocyanidins
",97,NULL,NULL,"2015-02-23 22:40:09","2015-02-23 22:40:09"
7,"CHEBI:18010","trihydroxyflavone
dimethoxyflavone
",176,NULL,NULL,"2015-02-23 22:40:15","2015-02-23 22:40:15"
8,"C01265","flavonols
",176,NULL,NULL,"2015-02-23 22:40:15","2015-02-23 22:40:15"
9,"LMPK12112731","Flavones and Flavonols
",176,NULL,NULL,"2015-02-23 22:40:15","2015-02-23 22:40:15"
10,"345-TRIHYDROXY-37-DIMETHOXYFLAVONE","a flavonol derivative
",176,NULL,NULL,"2015-02-23 22:40:15","2015-02-23 22:40:15"
11,"LMPK12113021","Flavones and Flavonols
",218,NULL,NULL,"2015-02-23 22:40:24","2015-02-23 22:40:24"
12,"CHEBI:75489","cinnamate ester
cyclitol carboxylic acid
",275,NULL,NULL,"2015-02-23 22:40:28","2015-02-23 22:40:28"
13,"CHEBI:41941","catechols
dihydroxyphenylacetic acid
",316,NULL,NULL,"2015-02-23 22:40:47","2015-02-23 22:40:47"
14,"CHEBI:49584","phenols
",358,NULL,NULL,"2015-02-23 22:40:52","2015-02-23 22:40:52"
15,"CPD-10596","an aromatic compound
",358,NULL,NULL,"2015-02-23 22:40:52","2015-02-23 22:40:52"
16,"CHEBI:16469","17beta-hydroxy steroid
estradiol
",362,NULL,NULL,"2015-02-23 22:40:55","2015-02-23 22:40:55"
17,"C00951","C18 steroids (estrogens) and derivatives
Estrane and derivatives
Estrogens
",362,NULL,NULL,"2015-02-23 22:40:55","2015-02-23 22:40:55"
18,"LMST02010001","C18 steroids (estrogens) and derivatives
",362,NULL,NULL,"2015-02-23 22:40:55","2015-02-23 22:40:55"
19,"LMPK12113018","Flavones and Flavonols
",364,NULL,NULL,"2015-02-23 22:41:02","2015-02-23 22:41:02"
20,"CHEBI:17113","butane-1,2,3,4-tetrol
",371,NULL,NULL,"2015-02-23 22:41:08","2015-02-23 22:41:08"
21,"LMFA07010627","Wax monoesters
",412,NULL,NULL,"2015-02-23 22:41:53","2015-02-23 22:41:53"
22,"LMFA07010625","Wax monoesters
",416,NULL,NULL,"2015-02-23 22:42:00","2015-02-23 22:42:00"
23,"LMPK12050003","Isoflavonoids
",431,NULL,NULL,"2015-02-23 22:42:16","2015-02-23 22:42:16"
24,"CHEBI:17818","tyramines
",432,NULL,NULL,"2015-02-23 22:42:18","2015-02-23 22:42:18"
25,"CHEBI:15760","monoamine molecular messenger
primary amino compound
tyramines
",433,NULL,NULL,"2015-02-23 22:42:20","2015-02-23 22:42:20"
26,"C00483","Biogenic amines
Tyramine derivatives
",433,NULL,NULL,"2015-02-23 22:42:20","2015-02-23 22:42:20"
27,"CHEBI:17458","tyramines
",435,NULL,NULL,"2015-02-23 22:42:25","2015-02-23 22:42:25"
28,"C02442","Tyramine derivatives
",435,NULL,NULL,"2015-02-23 22:42:25","2015-02-23 22:42:25"
29,"CHEBI:17183","benzophenanthridine alkaloid
",436,NULL,NULL,"2015-02-23 22:42:26","2015-02-23 22:42:26"
30,"C06162","Isoquinoline alkaloids
",436,NULL,NULL,"2015-02-23 22:42:26","2015-02-23 22:42:26"
31,"SANGUINARINE","a small molecule
",436,NULL,NULL,"2015-02-23 22:42:26","2015-02-23 22:42:26"
32,"CHEBI:34970","carbamate ester
organic heterotricyclic compound
guanidines
alkaloid
",437,NULL,NULL,"2015-02-23 22:42:28","2015-02-23 22:42:28"
33,"C13757","Alkaloids
Carbamate derivatives
",437,NULL,NULL,"2015-02-23 22:42:28","2015-02-23 22:42:28"
34,"CHEBI:27479","hydroxyisoflavone
",442,NULL,NULL,"2015-02-23 22:42:32","2015-02-23 22:42:32"
35,"C02495","Isoflavonoids
isoflavones
",442,NULL,NULL,"2015-02-23 22:42:32","2015-02-23 22:42:32"
36,"LMPK12050083","Isoflavonoids
",442,NULL,NULL,"2015-02-23 22:42:32","2015-02-23 22:42:32"
37,"2-HYDROXYDAIDZEIN","a small molecule
",442,NULL,NULL,"2015-02-23 22:42:32","2015-02-23 22:42:32"
38,"CHEBI:17895","L-alpha-amino acid
erythrose 4-phosphate/phosphoenolpyruvate family amino acid
tyrosine
",446,NULL,NULL,"2015-02-23 22:42:37","2015-02-23 22:42:37"
39,"C00082","Common amino acids
",446,NULL,NULL,"2015-02-23 22:42:37","2015-02-23 22:42:37"
40,"CHEBI:28241","benzylisoquinoline alkaloid
dimethoxybenzene
isoquinolines
",447,NULL,NULL,"2015-02-23 22:42:42","2015-02-23 22:42:42"
41,"C06533","Isoquinoline alkaloids
",447,NULL,NULL,"2015-02-23 22:42:42","2015-02-23 22:42:42"
42,"CHEBI:28821","benzodioxoles
piperidine alkaloid
carboxamide
N-acylpiperidine
",452,NULL,NULL,"2015-02-23 22:42:45","2015-02-23 22:42:45"
43,"C03882","Piperidine alkaloids
",452,NULL,NULL,"2015-02-23 22:42:45","2015-02-23 22:42:45"
44,"CHEBI:28177","dimethylxanthine
",453,NULL,NULL,"2015-02-23 22:42:47","2015-02-23 22:42:47"
45,"C07130","Purine alkaloids
",453,NULL,NULL,"2015-02-23 22:42:47","2015-02-23 22:42:47"
46,"CPD-12479","a small molecule
",453,NULL,NULL,"2015-02-23 22:42:47","2015-02-23 22:42:47"
47,"CHEBI:28946","dimethylxanthine
",455,NULL,NULL,"2015-02-23 22:42:52","2015-02-23 22:42:52"
48,"C07480","Purine alkaloids
",455,NULL,NULL,"2015-02-23 22:42:52","2015-02-23 22:42:52"
49,"3-7-DIMETHYLXANTHINE","a small molecule
",455,NULL,NULL,"2015-02-23 22:42:52","2015-02-23 22:42:52"
50,"CHEBI:16927","L-lysine derivative
",461,NULL,NULL,"2015-02-23 22:42:58","2015-02-23 22:42:58"
51,"CHEBI:35280","amino-acid betaine
n-methyl-l-amino acid
",463,NULL,NULL,"2015-02-23 22:43:01","2015-02-23 22:43:01"
52,"C10172","Pyrrolidine alkaloids
",463,NULL,NULL,"2015-02-23 22:43:01","2015-02-23 22:43:01"
53,"CHEBI:16414","L-alpha-amino acid
pyruvate family amino acid
valine
",465,NULL,NULL,"2015-02-23 22:43:03","2015-02-23 22:43:03"
54,"C00183","Common amino acids
",465,NULL,NULL,"2015-02-23 22:43:03","2015-02-23 22:43:03"
55,"CPD0-2189","a small molecule
",470,NULL,NULL,"2015-02-23 22:43:10","2015-02-23 22:43:10"
