id,compound_id,health_effect_id,"orig_health_effect_name","orig_compound_name","orig_citation","citation","citation_type","created_at","updated_at",creator_id,updater_id,source_id,"source_type"
1,453,1,"(+)-Inotropic","THEOPHYLLINE",NULL,"DUKE","DATABASE","2012-04-10 14:16:06","2014-11-05 14:49:49",NULL,NULL,453,"Compound"
2,2100,1,"(+)-Inotropic","CAFFEINE",NULL,"DUKE","DATABASE","2012-04-10 14:16:06","2014-11-05 14:49:49",NULL,NULL,2100,"Compound"
3,9030,2,"(-)-Chronotropic","BORNYL-ACETATE",NULL,"DUKE","DATABASE","2012-04-10 14:16:06","2014-11-05 14:49:49",NULL,NULL,9030,"Compound"
4,13577,2,"(-)-Chronotropic","BORNEOL",NULL,"DUKE","DATABASE","2012-04-10 14:16:06","2014-11-05 14:49:49",NULL,NULL,13577,"Compound"
5,14619,2,"(-)-Chronotropic","1,8-CINEOLE",NULL,"DUKE","DATABASE","2012-04-10 14:16:06","2014-11-05 14:49:49",NULL,NULL,14619,"Compound"
6,9030,3,"(-)-Inotropic","BORNYL-ACETATE",NULL,"DUKE","DATABASE","2012-04-10 14:16:06","2014-11-05 14:49:49",NULL,NULL,9030,"Compound"
7,13577,3,"(-)-Inotropic","BORNEOL",NULL,"DUKE","DATABASE","2012-04-10 14:16:06","2014-11-05 14:49:49",NULL,NULL,13577,"Compound"
8,14619,3,"(-)-Inotropic","1,8-CINEOLE",NULL,"DUKE","DATABASE","2012-04-10 14:16:06","2014-11-05 14:49:49",NULL,NULL,14619,"Compound"
9,633,4,"11B-HSD-Inhibitor","KAEMPFEROL",NULL,"DUKE","DATABASE","2012-04-10 14:16:06","2014-11-05 14:49:49",NULL,NULL,633,"Compound"
10,678,4,"11B-HSD-Inhibitor","NARINGENIN",NULL,"DUKE","DATABASE","2012-04-10 14:16:06","2014-11-05 14:49:49",NULL,NULL,678,"Compound"
11,2798,4,"11B-HSD-Inhibitor","APIGENIN",NULL,"DUKE","DATABASE","2012-04-10 14:16:06","2014-11-05 14:49:49",NULL,NULL,2798,"Compound"
12,11907,4,"11B-HSD-Inhibitor","QUERCETIN",NULL,"DUKE","DATABASE","2012-04-10 14:16:06","2014-11-05 14:49:49",NULL,NULL,11907,"Compound"
13,11906,5,"12-Lipoxygenase-Inhibitor","NORDIHYDROGUAIARETIC-ACID",NULL,"DUKE","DATABASE","2012-04-10 14:16:06","2014-11-05 14:49:49",NULL,NULL,11906,"Compound"
14,12295,5,"12-Lipoxygenase-Inhibitor","CURCUMIN",NULL,"DUKE","DATABASE","2012-04-10 14:16:06","2014-11-05 14:49:49",NULL,NULL,12295,"Compound"
15,12226,6,"17-beta-hydroxysteroid dehydrogenase-Inhibitor","BIOCHANIN-A",NULL,"DUKE","DATABASE","2012-04-10 14:16:06","2014-11-05 14:49:49",NULL,NULL,12226,"Compound"
16,2942,7,"5-Alpha-Reductase-Inhibitor","STEARIC-ACID",NULL,"DUKE","DATABASE","2012-04-10 14:16:06","2014-11-05 14:49:49",NULL,NULL,2942,"Compound"
17,11678,7,"5-Alpha-Reductase-Inhibitor","PALMITOLEIC-ACID",NULL,"DUKE","DATABASE","2012-04-10 14:16:06","2014-11-05 14:49:49",NULL,NULL,11678,"Compound"
18,11682,7,"5-Alpha-Reductase-Inhibitor","PALMITIC-ACID",NULL,"DUKE","DATABASE","2012-04-10 14:16:06","2014-11-05 14:49:49",NULL,NULL,11682,"Compound"
19,11875,7,"5-Alpha-Reductase-Inhibitor","ARACHIDONIC-ACID",NULL,"DUKE","DATABASE","2012-04-10 14:16:06","2014-11-05 14:49:49",NULL,NULL,11875,"Compound"
20,12226,7,"5-Alpha-Reductase-Inhibitor","BIOCHANIN-A",NULL,"DUKE","DATABASE","2012-04-10 14:16:06","2014-11-05 14:49:49",NULL,NULL,12226,"Compound"
21,12295,7,"5-Alpha-Reductase-Inhibitor","CURCUMIN",NULL,"DUKE","DATABASE","2012-04-10 14:16:06","2014-11-05 14:49:49",NULL,NULL,12295,"Compound"
22,12465,7,"5-Alpha-Reductase-Inhibitor","ALPHA-LINOLENIC-ACID",NULL,"DUKE","DATABASE","2012-04-10 14:16:06","2014-11-05 14:49:49",NULL,NULL,12465,"Compound"
23,12763,7,"5-Alpha-Reductase-Inhibitor","LINOLEIC-ACID",NULL,"DUKE","DATABASE","2012-04-10 14:16:06","2014-11-05 14:49:49",NULL,NULL,12763,"Compound"
24,12861,7,"5-Alpha-Reductase-Inhibitor","OLEIC-ACID",NULL,"DUKE","DATABASE","2012-04-10 14:16:06","2014-11-05 14:49:49",NULL,NULL,12861,"Compound"
